Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,Elevation_m,Open Date,Latitude,Longitude,Registration_Count
"Gloucester, MA",231 Gloucester Crossing,Gloucester,MASSACHUSETTS,1930,USA,8,250.0,43,2022-09-30 00:00:00,42.623417,-70.6545,73768
"Petersburg - Wagner Rd, VA",151 Wagner Rd,Petersburg,VIRGINIA,23805,USA,8,250.0,47,2020-12-12 00:00:00,37.1906,-77.3663,84936
"Seattle - NW Ballard Way, WA",1416 NW Ballard Way,Seattle,WASHINGTON,98107,USA,8,150.0,9,2020-12-11 00:00:00,47.662639,-122.374975,152101
"Malibu - Whole Foods and the Park, CA",23401 Civic Center Way,Malibu,CALIFORNIA,90265,USA,5,72.0,5,2019-06-13 00:00:00,34.037043,-118.685809,1256646
"Rehoboth Beach, DE",30155 Veterans Way,Rehoboth Beach,DELAWARE,19971,USA,8,250.0,7,2021-01-07 00:00:00,38.712542,-75.10381,8435
"Williamsburg, VA",842 Merrimac Trail,Williamsburg,VIRGINIA,23185,USA,8,250.0,25,2020-12-18 00:00:00,37.266487,-76.676613,84936
"Perry, OK",2812 Fir St,Perry,OKLAHOMA,73077,USA,6,150.0,330,2015-04-15 00:00:00,36.289315,-97.325935,22843
"Malibu, CA",3862 Cross Creek Rd,Malibu,CALIFORNIA,90265,USA,8,250.0,4,2020-12-17 00:00:00,34.036024,-118.684095,1256646
"Greenfield, CA",560 Walnut Ave,Greenfield,CALIFORNIA,93927,USA,12,250.0,86,2020-12-15 00:00:00,36.32925,-121.245444,1256646
"Lady Lake, FL",116 N. Highway 27/441,Lady Lake,FLORIDA,32159,USA,8,250.0,24,2020-09-09 00:00:00,28.917179,-81.923031,254878
"Winter Garden, FL",13501 W Colonial Dr,Winter Garden,FLORIDA,34787,USA,8,250.0,39,2020-12-18 00:00:00,28.551646,-81.584416,254878
"San Mateo - Hillsdale Boulevard, CA",1308 W Hillsdale Blvd,San Mateo,CALIFORNIA,94403,USA,12,250.0,108,2021-01-06 00:00:00,37.533306,-122.327472,1256646
"Sand City, CA",2040 California Ave,Sand City,CALIFORNIA,93955,USA,12,250.0,16,2021-04-17 00:00:00,36.621976,-121.844208,1256646
"Trenton - Richard Stockton, NJ",Richard Stockton Service Area,Trenton,NEW JERSEY,8691,USA,8,250.0,29,2021-05-06 00:00:00,40.176935,-74.631786,134753
"Georgetown, TX",1015 W University Ave,Georgetown,TEXAS,78628,USA,16,250.0,244,2023-04-12 00:00:00,30.632093,-97.694003,230125
"Davenport, FL",8103 Lake Wilson Rd,Davenport,FLORIDA,33896,USA,12,250.0,41,2021-05-25 00:00:00,28.258509,-81.590088,254878
"Grove City, PA",1931 Butler Pike,Grove City,PENNSYLVANIA,16127,USA,6,250.0,395,2020-02-07 00:00:00,41.143778,-80.157055,70154
